Number of citation,Name of citation,what is it,which pages are cited?,total number of pages,actual pages cited,what is it cited for,qué se cita exactamente de esta fuente,is the cited information in the source?,support evidence / caveat,audit action
40,The First Indoor Pathloss Radio Map Prediction Challenge,Conference paper,1-2,2,"33, 105","ICASSP 2025 indoor challenge. Context: y holdout split used in this thesis: a CKM surrogate is useful only if it works on new urban layouts, not only on shuffled samples from the same city. ICASSP 2025 indoor challenge The ICASSP 2025 Indoor Pathloss Challenge [citation] presents a structurally different problem, dense wall penetration NLoS effects in bounded interior spaces, but its public resul",El reto indoor ICASSP 2025 y su tabla de weighted RMSE para los métodos participantes.,SUPPORTED,"Local PDF supports the ICASSP 2025 indoor pathloss challenge and lists weighted RMSE values around 9.41, 9.50, 10.32, and 10.39 for the cited methods.",No thesis wording change needed.
41,The First Indoor Pathloss Radio Map Prediction Challenge: Results,Website,,,"33, 105","ICASSP 2025 indoor challenge. Context: nge numbers. The official result page reports that the winning SIP2Net submission obtains a weighted average RMSE of 9.411dB; IPP-Net reaches 9.501dB; TerRaIn reaches 10.325dB; and TransPathNet reaches 10.397dB [citation] . These are not outdoor UAV results, but they show that when NLoS physics becomes harder and less directly observable from the input map,","La página oficial de resultados con los weighted RMSE finales de SIP2Net, IPP-Net, TerRaIn y TransPathNet.",SUPPORTED,"Official challenge results page verified on 2026-06-17 lists final weighted RMSE 9.411 for SIP2Net, 9.501 for IPP-Net, 10.325 for TerRaIn, and 10.397 for TransPathNet.",No thesis wording change needed.
42,SIP2Net: Situational-Aware Indoor Pathloss-Map Prediction Network for Radio Map Generation,Conference paper,1-2,2,"33, 105","ICASSP 2025 indoor challenge. Context: nge numbers. The official result page reports that the winning SIP2Net submission obtains a weighted average RMSE of 9.411dB; IPP-Net reaches 9.501dB; TerRaIn reaches 10.325dB; and TransPathNet reaches 10.397dB [citation] . These are not outdoor UAV results, but they show that when NLoS physics becomes harder and less directly observable from the input map,",La solución SIP2Net y su weighted RMSE de 9.411 dB como primer puesto del reto indoor.,SUPPORTED,Local PDF supports SIP2Net's 9.411 dB weighted RMSE and 1st place indoor challenge result.,No thesis wording change needed.
43,IPP-Net: A Generalizable Deep Neural Network Model for Indoor Pathloss Radio Map Prediction,Conference paper,1-2,2,"33, 105","ICASSP 2025 indoor challenge. Context: nge numbers. The official result page reports that the winning SIP2Net submission obtains a weighted average RMSE of 9.411dB; IPP-Net reaches 9.501dB; TerRaIn reaches 10.325dB; and TransPathNet reaches 10.397dB [citation] . These are not outdoor UAV results, but they show that when NLoS physics becomes harder and less directly observable from the input map,",La solución IPP-Net y su weighted RMSE de 9.501 dB como segundo puesto del reto indoor.,SUPPORTED,Local PDF supports IPP-Net's 9.501 dB weighted RMSE and second overall ranking.,No thesis wording change needed.
44,TransPathNet: A Novel Two-Stage Framework for Indoor Radio Map Prediction,Conference paper,1-2,2,"33, 105","ICASSP 2025 indoor challenge. Context: nge numbers. The official result page reports that the winning SIP2Net submission obtains a weighted average RMSE of 9.411dB; IPP-Net reaches 9.501dB; TerRaIn reaches 10.325dB; and TransPathNet reaches 10.397dB [citation] . These are not outdoor UAV results, but they show that when NLoS physics becomes harder and less directly observable from the input map,",La solución TransPathNet de dos etapas y su RMSE final de 10.397 dB en el reto indoor.,SUPPORTED,Local PDF supports TransPathNet's 10.397 dB overall RMSE on the indoor challenge full test set.,No thesis wording change needed.
45,RadioPiT: Radio Map Generation with Pixel Transformer Driven by Ultra-Sparse Real-World Data,Conference paper,1-6,6,"33, 105","Emerging techniques and implications for this thesis. Context: a 2D building height map. The most plausible routes beyond that wall are richer geometry and diffraction priors [citation] , PDE style physics losses such as ReVeal [citation] , sparse target domain adaptation such as RadioPiT [citation] , diffusion refinement [citation] , and larger radio map foundation models [citation] . The spread targets add a second le",RadioPiT como generación de radio maps con Pixel Transformer a partir de datos reales ultraescasos.,SUPPORTED,Local PDF supports RadioPiT as radio map generation using a pixel transformer driven by ultra sparse real world data.,No thesis wording change needed.
46,Machine-Learning-Based Prediction Methods for Path Loss and Delay Spread in Air-to-Ground Millimetre-Wave Channels,Journal article,1113-1121,9,"33, 45, 47, 88, 105","High level architecture; Literature ingredients and thesis adaptations; Comparison with closest state of the art metrics. Context: nearby building pixels, and the local window area fraction occupied by buildings taller than the transmitter. This follows the log domain convention used for large scale spread statistics and recent A2G spread predictors [citation] . This is why the spread prior can fit the near zero LoS mass and the NLoS tail without letting the largest tail values dominate",La predicción ML de path loss y delay spread en canales A2G mmWave a nivel de enlace.,SUPPORTED,"Local PDF supports machine learning based prediction of A2G mmWave path loss and delay spread, and it is correctly described as scalar/link level rather than dense CKM map prediction.",No thesis wording change needed.
47,PMNet: Robust Pathloss Map Prediction via Supervised Learning,Conference paper,4601-4606,6,"44, 47, 106","prior_detail_overview.tex; Literature ingredients and thesis adaptations; Deep learning, hybrid models and distribution aware heads. Context: SPL, two-ray, empirical NLoS and large scale parameter models [citation] , while the residual network inherits dense prediction, FiLM conditioning and distribution aware regression ideas [citation] . The detailed mathematical derivations and implementation level fitting notes are included in this methodology chapter, so the final pipeline can be read without",PMNet como método supervisado encoder-decoder para predicción robusta de mapas de path loss.,SUPPORTED,"Local PDF supports PMNet as supervised robust pathloss map prediction with an encoder decoder style radio map model, matching the dense prediction neighbour citation.",No thesis wording change needed.
48,Wireless Communications,Book,,,"51, 106","Effective two-ray calibration; Channel knowledge maps and dense radio map prediction. Context: )=(h_tx)e^-j(h_tx)\). Thus \(\) and \(\) are calibration parameters fitted from training city LoS pixels in 5m UAV height bins, not material Fresnel constants from a single flat ground plane [citation] . The search grid allowed \( 1.5\) for robustness, but the smoothed deployed values remain below unity. The additional terms \(_LoS(h_tx)\) and \(r(d_2D,h_tx)",La base teórica de propagación coherente de dos rayos y coeficientes de reflexión.,SUPPORTED WITH CAVEAT,"Book reference is appropriate for coherent two ray propagation and reflection coefficient vocabulary, but the book is not locally text extracted in the audit folder.",No thesis wording change needed; source is used as a whole textbook reference.
49,A Theoretical Model of UHF Propagation in Urban Environments,Journal article,1788-1796,9,"58, 106","Map derived morphology features. Context: vation and simple interactions. From $PL^(0)(x)$ and the shared topology maps, the following 15 element vector is computed. This follows the same intuition as urban NLoS models based on building rows and street level descriptors [citation] , and as path profile surrogates that use map derived profile statistics [citation] , but all variables here are compute",La influencia de filas o bloques de edificios y difracción urbana en la propagación UHF.,SUPPORTED,Local PDF supports urban UHF propagation modelling with rows or blocks of buildings treated as diffracting structures.,No thesis wording change needed.
50,Propagation Factors Controlling Mean Field Strength on Urban Streets,Journal article,822-829,8,"58, 106","Map derived morphology features. Context: vation and simple interactions. From $PL^(0)(x)$ and the shared topology maps, the following 15 element vector is computed. This follows the same intuition as urban NLoS models based on building rows and street level descriptors [citation] , and as path profile surrogates that use map derived profile statistics [citation] , but all variables here are compute","Los factores urbanos de calle, altura de edificios, anchura de calle, orientación y altura de antena móvil.",SUPPORTED,"Local PDF supports building height, street width, street orientation, and mobile antenna height as controlling urban street propagation factors.",No thesis wording change needed.
51,Explainable Deep-Learning-Based Path Loss Prediction from Path Profiles in Urban Environments,Journal article,6690,18,"58, 106","Map derived morphology features. Context: 15 element vector is computed. This follows the same intuition as urban NLoS models based on building rows and street level descriptors [citation] , and as path profile surrogates that use map derived profile statistics [citation] , but all variables here are computed directly from the CKM grid and fitted only on training city pixels. The vector itself was i",El uso de path profiles y características derivadas del mapa para predicción explicable de path loss.,SUPPORTED,Local PDF supports explainable path loss prediction from map derived path profile features in urban environments.,No thesis wording change needed.
52,An Empirical Air-to-Ground Channel Model Based on Passive Measurements in LTE,Journal article,1140-1154,15,"63, 106","Raw spread prior in log domain. Context: [citation] , then adds CKM specific map morphology terms. UAV measurement studies also motivate the elevation angle dependence: low elevation links usually interact with more rooftops and street canyons than near overhead links [citation] . The development repository documents this spread module as a transparent non neural baseline whose purpose is to measur",Medidas A2G LTE y dependencia del path loss con ángulo de elevación en escenarios UAV.,SUPPORTED,"Local PDF supports passive LTE A2G measurements, UAV channel modelling, and elevation angle dependence in path loss modelling.",No thesis wording change needed.
53,Angular Distribution of Cellular Signals for UAVs in Urban and Rural Scenarios,Conference paper,1-5,5,"63, 106","Raw spread prior in log domain. Context: [citation] , then adds CKM specific map morphology terms. UAV measurement studies also motivate the elevation angle dependence: low elevation links usually interact with more rooftops and street canyons than near overhead links [citation] . The development repository documents this spread module as a transparent non neural baseline whose purpose is to measur",La variación de AoA y angular spread con la altura del UAV en escenarios urbanos y rurales.,SUPPORTED,Local PDF supports Angle of Arrival and Angular Spread variation with height in urban and rural UAV LTE measurements.,No thesis wording change needed.
54,TFGAllProgress_Tries_and_Attempts: Development History and Experimental Attempts,Software / repository,,,"63, 106, 117",Public source record and checkpoint artifact; Raw spread prior in log domain. Context: final training and evaluation code is collected in Final_Code_TFG; the broader experimental history is preserved in TFGAllProgress_Tries_and_Attempts; and the thesis source is kept in TFG_ActualText_LaTeX [citation] . The final checkpoint loaded by the generator is models/best_model.pt. Since this file is larger than GitHub's regular single-file limit for or,El repositorio de historial experimental y notas internas de desarrollo que documentan intentos y módulos del proyecto.,SOURCE RECORD,"Repository citation is a reproducibility/source record for the broader development history and internal spread prior notes, not an external paper claim.",No thesis wording change needed; keep empty paper page fields.
55,Measurement-Based Prediction of mmWave Channel Parameters Using Deep Learning and Point Cloud,Journal article,1059-1072,14,"88, 106","Comparison with closest state of the art metrics. Context: UAV mmWave model predicting delay spread and AoA/AoD angular statistics. & Predicts per link channel characteristics from coordinates/frequency/location tags, not dense \(513513\) AS/DS maps from building height images. \\ Mi et al.\ [citation] & Regression PointNet from indoor 60GHz point clouds; predicts RMS DS, azimuth angular spread, path loss and \(K\)-","La predicción con PointNet de path loss, RMS delay spread, angular spread y factor K a partir de nubes de puntos indoor.",SUPPORTED,"Local PDF supports indoor 60 GHz point cloud based prediction of path loss, RMS delay spread, azimuth angular spread, and Rician K factor; it reports average angular spread RMSE 7.39 degrees.",No thesis wording change needed.
56,"CKMGenerator: Generator of Path Loss, Delay Spread and Angular Spread",Software / repository,,,"106, 117",Public source record and checkpoint artifact. Context: final training and evaluation code is collected in Final_Code_TFG; the broader experimental history is preserved in TFGAllProgress_Tries_and_Attempts; and the thesis source is kept in TFG_ActualText_LaTeX [citation] . The final checkpoint loaded by the generator is models/best_model.pt. Since this file is larger than GitHub's regular single-file limit for or,"El repositorio del generador público de mapas CKM para path loss, delay spread y angular spread.",SOURCE RECORD,"Repository citation supports the standalone CKM generator source record, not a paper claim.",No thesis wording change needed; keep empty paper page fields.
57,Final_Code_TFG: Final Training and Evaluation Code,Software / repository,,,"106, 117",Public source record and checkpoint artifact. Context: final training and evaluation code is collected in Final_Code_TFG; the broader experimental history is preserved in TFGAllProgress_Tries_and_Attempts; and the thesis source is kept in TFG_ActualText_LaTeX [citation] . The final checkpoint loaded by the generator is models/best_model.pt. Since this file is larger than GitHub's regular single-file limit for or,El repositorio del código final de entrenamiento y evaluación.,SOURCE RECORD,"Repository citation supports the final training and evaluation code source record, not a paper claim.",No thesis wording change needed; keep empty paper page fields.
58,TFG_ActualText_LaTeX: Thesis Source,Software / repository,,,"106, 117",Public source record and checkpoint artifact. Context: final training and evaluation code is collected in Final_Code_TFG; the broader experimental history is preserved in TFGAllProgress_Tries_and_Attempts; and the thesis source is kept in TFG_ActualText_LaTeX [citation] . The final checkpoint loaded by the generator is models/best_model.pt. Since this file is larger than GitHub's regular single-file limit for or,El repositorio con el texto fuente LaTeX de la tesis.,SOURCE RECORD,"Repository citation supports the thesis source record, not a paper claim.",No thesis wording change needed; keep empty paper page fields.
